Invoice ID,Customer ID,Customer Name,Invoice Type,Status,Invoice Date,Due Date,Available Discount,Amount,Balance Due,Email,Copy Email,Currency,PO Number,Payment Terms,Comments,Discount,Freight,Miscellaneous Cost,Subtotal,Tax Amount,Billing Address Name,Billing Address1,Billing Address2,Billing City,Billing State,Billing Zip,Billing Country,Shipping Address Name,Shipping Address1,Shipping Address2,Shipping City,Shipping State,Shipping Zip,Shipping Country
INVS3002,COMPUTEC0001,Compu-Tech Solutions,SERVINV,Outstanding,04/12/2027,10/06/2028,,$230.05,$230.05,,,Z-US$,6110,Net 30,,$0.00,$0.00,$0.00,$215.00,$15.05,Jia Zhou,P.O. Box 2734,,Green Bay,WI,54305-5303,USA,Jia Zhou,23456 Meridan St. N.E.,,Green Bay,WI,54305-5303,USA
INVS3006,HOMEFURN0001,Home Furnishings Limited,SERVINV,Outstanding,04/12/2027,10/06/2028,,$230.05,$230.05,,,Z-US$,3471198,Net 30,,$0.00,$0.00,$0.00,$215.00,$15.05,Manuel Le Hoya,234 Heritage Ave.,,Midland,MI,48640-9392,USA,Manuel Le Hoya,234 Heritage Ave.,,Midland,MI,48640-9392,USA
INVS3010,UNIFIEDW0001,Unified Wire and Cable Systems,SERVINV,Outstanding,04/12/2027,10/06/2028,,"$1,206.43","$1,206.43",,,Z-US$,.,Net 30,,$0.00,$0.00,$0.00,"$1,127.50",$78.93,Todd Quinn,123 N. Meriam Ave,,Grand Rapids,MI,49548,USA,John Oleander,123 N. Meriam Ave,,Grand Rapids,MI,49548,USA
INVS3001,CENTRALD0001,Central Distributing,SERVINV,Outstanding,04/12/2027,10/06/2028,,"$1,405.87","$1,405.87",,,Z-US$,.,Net 30,,$0.00,$0.00,$0.00,"$1,313.88",$91.99,Donald Fox,Suite 13,2345 Westwood Dr.,La Crosse,WI,54601-9975,USA,Jodi Foxx,Suite 13,2345 Westwood Dr.,La Crosse,WI,54601-9975,USA
INVS3008,AARONFIT0001,Aaron Fitz Electrical,SERVINV,Outstanding,04/12/2027,10/06/2028,,$938.93,$938.93,,,Z-US$,.,Net 30,,$0.00,$0.00,$0.00,$877.50,$61.43,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Orin Freeland,One Microsoft Way,,Redmond,WA,98052-6399,USA
INVS3007,ASTORSUI0001,Astor Suites,SERVINV,Outstanding,04/12/2027,10/06/2028,,"$1,405.87","$1,405.87",,,Z-US$,.,Net 30,,$0.00,$0.00,$0.00,"$1,313.88",$91.99,Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA,Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA
INVS3000,CELLULAR0001,Cellular Express,SERVINV,Outstanding,04/12/2027,10/06/2028,,"$1,405.87","$1,405.87",,,Z-US$,.,Net 30,,$0.00,$0.00,$0.00,"$1,313.88",$91.99,Michael Harjak,5678 Horseshoe Way,,Aurora,IL,60507-3322,USA,Jacob Hunnicutt,5678 Horseshoe Way,,Aurora,IL,60507-3322,USA
INVS3012,REYNOLDS0001,Reynolds State College,SERVINV,Outstanding,04/12/2027,10/06/2028,,$300.14,$300.14,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$280.50,$19.64,Alan Swedburg,456 College Drive,,Benton Harbor,MI,49022-9090,USA,Alan Swedburg,456 College Drive,,Benton Harbor,MI,49022-9090,USA
INVS3009,NOVASYST0001,"Nova Systems, Inc.",SERVINV,Outstanding,04/12/2027,10/06/2028,,"$1,206.43","$1,206.43",,,Z-US$,.,Net 30,,$0.00,$0.00,$0.00,"$1,127.50",$78.93,Fred Wagner,123 W. Nichols Rd,,St. Paul,MN,55104,USA,Drew Shuckers,123 W. Nichols Rd,,St. Paul,MN,55104,USA
INVS3013,HOMEFURN0001,Home Furnishings Limited,SERVINV,Outstanding,04/12/2027,10/06/2028,,$754.36,$754.36,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$705.00,$49.36,Manuel Le Hoya,234 Heritage Ave.,,Midland,MI,48640-9392,USA,Manuel Le Hoya,234 Heritage Ave.,,Midland,MI,48640-9392,USA
RMA003002,FRANCHIS0001,Franchise Office Machines,RMAINV,Outstanding,08/31/2027,09/30/2027,,$577.80,$577.80,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$540.00,$37.80,Customer Orders,456 Sherwood Park South,,Arlington Heights,IL,6004-2922,USA,Keiry Lanios,,,Arlington Heights,IL,6004-2922,USA
RMA003003,GREENWAY0001,Greenway Foods,RMAINV,Outstanding,08/31/2027,09/30/2027,,"$2,806.61","$2,806.61",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$2,623.00",$183.61,Purchasing & Sales,87654 N 19th Avenue,,Chicago,IL,60601-6363,USA,Purchasing & Sales,87654 N 19th Avenue,,Chicago,IL,60601-6363,USA
RMA003001,ADAMPARK0001,Adam Park Resort,RMAINV,Outstanding,08/31/2027,09/30/2027,,$933.58,$933.58,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$872.50,$61.08,Roberta Masouras,P.O. Box 1391,,Indianapolis,IN,46206-1391,USA,Roberta Masouras,Suite 9876,321 Chestnut Drive,Indianapolis,IN,46206-1391,USA
SALES00000001000,AARONFIT0001,Aaron Fitz Electrical,INVOICE WITHOUT ITEMS,Paid,05/08/2027,06/07/2027,,$0.00,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$0.00,$0.00,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
INVSP1004,COUNTRYV0001,Country View Estates,SPECINV,Outstanding,04/12/2027,05/12/2027,,$89.89,$89.89,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$79.90,$9.99,Beth Talbot,123 Albert Ave,,Palmerston North,,,New Zealand,Wes Stevens,22 Patterson St.,,Palmerston North,,,New Zealand
INVSP1003,COMPUTER0001,Computerized Phone Systems,SPECINV,Outstanding,04/12/2027,05/12/2027,,$128.35,$128.35,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$119.95,$8.40,Terrence Strauss,456 17 St S,,Madison,WI,53701-6652,USA,Darryl Elk,125 17 St. S,,Madison,WI,53701-6652,USA
STDINV2240,ASSOCIAT0001,Associated Insurance Company,STDINV,Outstanding,04/12/2027,05/12/2027,,$695.40,$695.40,,,Z-US$,PO 124388,Net 30,,$0.00,$0.00,$0.00,$649.90,$45.50,Dmitry Rodin,Box 3849,,Lincoln,NE,68502-3849,USA,Dmitry Rodin,309 Garden Mall,,Lincoln,NE,68502-3849,USA
STDINV2246,COMMUNIC0002,Communication Connections,STDINV,Outstanding,05/30/2025,05/12/2027,,$31.94,$31.94,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$29.85,$2.09,Accounting,Suite 65,25 Main St,Vancouver,BC,V6C 4D2,Canada,Al Reyko,1760 Curtis,,Vancouver,BC,V6C 4D2,Canada
STDINV2234,LEISURET0001,Leisure & Travel Consultants,STDINV,Outstanding,05/31/2025,05/12/2027,,"$1,139.70","$1,139.70",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$949.75,$189.95,Rodney Lawry,City 123,,Sydney,NSW,2000,Australia,Rodney Lawry,City 55,,Sydney,NSW,2000,Australia
STDINV2249,CONTOSOL0001,"Contoso, Ltd.",STDINV,Outstanding,04/12/2027,05/12/2027,,"$73,947.65","$68,447.65",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$69,109.95","$4,837.70",Connie White,2401 Mineral Point Road,Dept A,Omaha,NE,68145-2401,USA,Purchasing,2401 Mineral Point Road,,Omaha,NE,68145-2401,USA
STDINV2252,AARONFIT0001,Aaron Fitz Electrical,STDINV,Outstanding,04/12/2027,05/12/2027,,"$5,702.69","$5,702.69",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$5,329.60",$373.09,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2250,ADAMPARK0001,Adam Park Resort,STDINV,Outstanding,04/12/2027,05/12/2027,,$31.95,$31.95,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$29.85,$2.10,Roberta Masouras,P.O. Box 1391,,Indianapolis,IN,46206-1391,USA,Roberta Masouras,Suite 63,14 Chestnut Drive,Indianapolis,IN,46206-1391,USA
STDINV2251,BAKERSEM0001,Baker's Emporium Inc.,STDINV,Outstanding,04/12/2027,05/12/2027,,$42.59,$42.59,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$39.80,$2.79,Arthur Holmes,789 University Ave,,Fort Wayne,IN,46802-3918,USA,Arthur Holmes,891 University Ave,,Fort Wayne,IN,46802-3918,USA
